Rk,Player,Age,Team,Pos,GP,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,upload
1,Artūrs Irbe,32,CAR,G,75,34,28,9,175,1858,1683,.906,2.42,5,4344:55,99,2.6,2.73,11.6,0,1,1,14,ASnhl-8,irbear01
2,Olaf Kölzig,29,WSH,G,73,41,20,11,163,1957,1794,.917,2.24,5,4370:50,87,24.1,2.53,14.6,0,2,2,6,ASGASnhl-1Hart-4Vezina-1,kolziol01
3,Martin Brodeur,27,NJD,G,72,43,20,8,161,1797,1636,.910,2.24,6,4311:54,94,10.8,2.53,12.1,1,4,5,16,ASGASnhl-3Hart-12Vezina-5,brodema01
4,Tommy Salo,28,EDM,G,70,27,28,13,162,1875,1713,.914,2.33,2,4164:00,90,17.3,2.64,13.3,0,1,1,8,ASGASnhl-7Vezina-6,saloto01
5,Guy Hebert,33,MDA,G,68,28,31,9,166,1805,1639,.908,2.51,4,3975:58,96,6.6,2.84,11.7,0,2,2,2,,hebergu01
6,Steve Shields,27,SJS,G,67,27,30,8,162,1826,1664,.911,2.56,4,3796:38,93,12.6,2.91,12.5,0,1,1,29,,shielst01
7,Roman Turek,29,STL,G,67,42,15,9,129,1470,1341,.912,1.95,7,3960:28,92,11.5,2.20,10.2,0,1,1,4,ASGASnhl-2Hart-6Jennings-1Vezina-2,turekro01
8,Curtis Joseph,32,TOR,G,63,36,20,7,158,1854,1696,.915,2.49,4,3801:05,89,19.3,2.83,13.4,0,1,1,14,ASGASnhl-5Hart-11Vezina-3Clancy-1,josepcu01
9,Patrick Roy,34,COL,G,63,32,21,8,141,1640,1499,.914,2.28,2,3704:18,90,15.8,2.59,11.7,0,3,3,10,Vezina-6,roypa01
10,Ed Belfour,34,DAL,G,62,32,21,7,127,1571,1444,.919,2.10,4,3620:23,85,23.2,2.37,12.1,0,3,3,10,ASnhl-4Hart-15Vezina-4,belfoed01
11,Fred Brathwaite,27,CGY,G,61,25,25,7,158,1664,1506,.905,2.75,5,3448:14,99,1.1,3.13,10.3,0,0,0,4,,brathfr01
