Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
1,New Jersey Devils,Nico Hischier,CH,C,18,2026,Halifax Mooseheads (QMJHL),609,199,289,488,15,154,,,,,,,51.4,hischni01
2,Philadelphia Flyers,Nolan Patrick,CA,C,18,2022,Brandon Wheat Kings (WHL),222,32,45,77,-36,83,,,,,,,4.1,patrino01
3,Dallas Stars,Miro Heiskanen,FI,D,18,2026,HIFK (Finland),552,67,279,346,30,172,,,,,,,58.3,heiskmi01
4,Colorado Avalanche,Cale Makar,CA,D,18,2026,Brooks (AJHL),470,136,371,507,168,134,,,,,,,82.0,makarca01
5,Vancouver Canucks,Elias Pettersson,SE,C,18,2026,Timra IK (Sweden-2),545,200,308,508,16,108,,,,,,,53.3,petteel01
6,Vegas Golden Knights,Cody Glass,CA,C,18,2026,Portland Winterhawks (WHL),322,54,65,119,-3,109,,,,,,,10.1,glassco01
7,New York Rangers,Lias Andersson,SE,C,18,2023,HV71 (Sweden),110,7,10,17,-32,57,,,,,,,-0.6,anderli01
8,Buffalo Sabres,Casey Mittelstadt,US,C,18,2026,Eden Priarie HS (High-MN),509,96,182,278,-62,118,,,,,,,21.6,mitteca01
9,Detroit Red Wings,Michael Rasmussen,CA,C,18,2026,Tri-City Americans (WHL),454,66,88,154,-50,243,,,,,,,9.9,rasmumi01
10,Florida Panthers,Owen Tippett,CA,RW,18,2026,Mississauga Steelheads (OHL),428,121,115,236,-53,94,,,,,,,22.5,tippeow01
11,Los Angeles Kings,Gabriel Vilardi,CA,C,18,2026,Windsor Spitfires (OHL),352,120,124,244,5,88,,,,,,,26.7,vilarga01
12,Carolina Hurricanes,Martin Necas,CZ,C,18,2026,HC Kometa Brno (Czech),519,162,264,426,72,184,,,,,,,45.6,necasma01
13,Vegas Golden Knights,Nick Suzuki,CA,C,18,2026,Owen Sound Attack (OHL),537,167,309,476,-20,167,,,,,,,45.2,suzukni01
14,Tampa Bay Lightning,Callan Foote,US,D,18,2024,Kelowna Rockets (WHL),145,5,15,20,24,137,,,,,,,6.0,footeca01
15,Vegas Golden Knights,Erik Brannstrom,SE,D,18,2025,HV71 (Sweden),294,10,67,77,-17,162,,,,,,,12.3,branner01
16,Calgary Flames,Juuso Valimaki,FI,D,18,2025,Tri-City Americans (WHL),271,11,61,72,-7,133,,,,,,,11.3,valimju01
17,Toronto Maple Leafs,Timothy Liljegren,SE,D,18,2026,Rogle BK (Sweden),311,21,72,93,6,131,,,,,,,15.4,liljeti01
18,Boston Bruins,Urho Vaakanainen,FI,D,18,2026,JYP (Finland),221,3,43,46,-15,70,,,,,,,7.0,vaakaur01
19,San Jose Sharks,Joshua Norris,US,C,18,2026,USA U-18 Development Team (USDP/USHL),283,104,88,192,-19,129,,,,,,,21.0,norrijo01
20,St. Louis Blues,Robert Thomas,CA,C,18,2026,London Knights (OHL),530,132,328,460,68,172,,,,,,,44.8,thomaro01
21,New York Rangers,Filip Chytil,CZ,C,18,2026,HC Ziln (Czech),405,80,93,173,-25,104,,,,,,,14.5,chytifi01
22,Edmonton Oilers,Kailer Yamamoto,US,RW,18,2026,Spokane Chiefs (WHL),374,73,87,160,30,140,,,,,,,14.8,yamamka01
23,Arizona Coyotes,Pierre-Olivier Joseph,CA,D,18,2026,Charlottetown Islanders (QMJHL),225,9,37,46,-34,119,,,,,,,5.8,joseppi01
24,Winnipeg Jets,Kristian Vesalainen,FI,W,18,2022,Frolunda HC (Sweden),70,2,3,5,-8,6,,,,,,,-0.6,vesalkr01
25,Montreal Canadiens,Ryan Poehling,US,C,18,2026,St. Cloud State (NCHC),358,54,77,131,-31,52,,,,,,,9.2,poehlry01
26,Dallas Stars,Jake Oettinger,US,G,18,2026,Boston University (H-East),305,0,6,6,0,8,305,184,78,33,.910,2.54,54.9,oettija01
27,Philadelphia Flyers,Morgan Frost,CA,C,18,2026,Soo Greyhounds (OHL),392,75,115,190,-55,114,,,,,,,15.2,frostmo01
28,Ottawa Senators,Shane Bowers,CA,C,18,2025,Waterloo Black Hawks (USHL),13,0,0,0,0,0,,,,,,,-0.2,bowersh01
29,Chicago Blackhawks,Henri Jokiharju,FI,D,18,2026,Portland Winterhawks (WHL),448,21,91,112,-15,154,,,,,,,19.0,jokihhe01
30,Nashville Predators,Eeli Tolvanen,FI,RW,18,2026,Sioux City Musketeers (USHL),423,92,98,190,-37,111,,,,,,,16.7,tolvaee01
31,St. Louis Blues,Klim Kostin,RU,C; LW,18,2025,Dynamo Moskva (Russia),190,25,28,53,-9,169,,,,,,,3.9,kostikl01
32,Colorado Avalanche,Conor Timmins,CA,D,18,2026,Soo Greyhounds (OHL),198,6,48,54,13,82,,,,,,,9.0,timmico01
33,Vancouver Canucks,Kole Lind,CA,RW,18,2024,Kelowna Rockets (WHL),31,2,6,8,-5,12,,,,,,,0.2,lindko01
34,Vegas Golden Knights,Nicolas Hague,CA,D,18,2026,Mississauga Steelheads (OHL),426,23,75,98,10,282,,,,,,,19.3,hagueni01
35,Philadelphia Flyers,Isaac Ratcliffe,CA,LW,18,2022,Guelph Storm (OHL),10,1,3,4,-1,10,,,,,,,0.3,ratclis01
36,New Jersey Devils,Jesper Boqvist,SE,C,18,2026,Brynas IF (Sweden),387,50,55,105,-20,60,,,,,,,7.1,boqvije01
37,Buffalo Sabres,Marcus Davidsson,SE,C,18,,Djurgardens IF (Sweden),,,,,,,,,,,,,,davidma02
38,Detroit Red Wings,Gustav Lindstrom,SE,D,18,2024,Almtuna IS (Sweden-2),174,5,30,35,-21,80,,,,,,,5.2,lindsgu01
39,Dallas Stars,Jason Robertson,US,LW,18,2026,Kingston Frontenacs (OHL),456,213,277,490,117,130,,,,,,,59.0,roberja01
40,Florida Panthers,Aleksi Heponiemi,FI,C,18,2023,Swift Current Broncos (WHL),25,2,4,6,-6,6,,,,,,,0.0,heponal01
41,Los Angeles Kings,Jaret Anderson-Dolan,CA,C,18,2025,Spokane Chiefs (WHL),134,15,14,29,-28,22,,,,,,,1.0,anderja01
42,Carolina Hurricanes,Eetu Luostarinen,FI,C,19,2026,KalPa (Finland),447,61,101,162,24,138,,,,,,,11.2,luostee01
43,Winnipeg Jets,Dylan Samberg,US,D,18,2026,Hermantown HS (High-MN),282,10,55,65,68,112,,,,,,,17.7,sambedy01
44,Arizona Coyotes,Filip Westerlund,SE,D,18,,Frolunda HC (Sweden),,,,,,,,,,,,,,westefi01
45,Columbus Blue Jackets,Alexandre Texier,FR,C,18,2026,Grenoble (France),283,48,63,111,-6,118,,,,,,,8.8,texieal01
46,New York Islanders,Robin Salo,FI,D,18,2023,Sport (Finland),32,3,6,9,-5,8,,,,,,,1.4,saloro01
47,Ottawa Senators,Alex Formenton,CA,LW,18,2022,London Knights (OHL),109,23,16,39,-9,71,,,,,,,3.5,formeal01
48,Tampa Bay Lightning,Alexander Volkov,RU,RW,20,2021,SKA Neva St. Petersburg (Russia-2),46,7,7,14,-5,12,,,,,,,1.2,volkoal01
49,San Jose Sharks,Mario Ferraro,CA,D,18,2026,Des Moines Buccaneers (USHL),490,24,90,114,-121,216,,,,,,,17.4,ferrama01
50,Anaheim Ducks,Maxime Comtois,CA,LW,18,2024,Victoriaville Tigres (QMJHL),211,38,49,87,-35,193,,,,,,,6.7,comtoma01
51,Pittsburgh Penguins,Zachary Lauzon,CA,D,18,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,lauzoza01
52,Carolina Hurricanes,Luke Martin,US,D,18,,Michigan (Big Ten),,,,,,,,,,,,,,martilu01
