Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,upload
1,Buffalo Sabres,Rasmus Dahlin,SE,D,18,2026,Frolunda HC (Sweden),586,102,332,434,-40,454,,,,,,,61.9,dahlira01
2,Carolina Hurricanes,Andrei Svechnikov,RU,RW,18,2026,Barrie Colts (OHL),557,182,252,434,41,493,,,,,,,47.4,svechan01
3,Montreal Canadiens,Jesperi Kotkaniemi,FI,C,18,2026,Assat (Finland),518,78,125,203,10,242,,,,,,,16.9,kotkaje01
4,Ottawa Senators,Brady Tkachuk,US,LW,18,2026,Boston University (H-East),572,213,250,463,-53,821,,,,,,,48.6,tkachbr01
5,Arizona Coyotes,Barrett Hayton,CA,C,18,2026,Soo Greyhounds (OHL),358,65,90,155,-28,201,,,,,,,11.1,haytoba01
6,Detroit Red Wings,Filip Zadina,CZ,RW,18,2024,Halifax Mooseheads (QMJHL),262,41,50,91,-95,40,,,,,,,4.1,zadinfi01
7,Vancouver Canucks,Quinn Hughes,US,D,18,2026,Michigan (Big Ten),507,66,419,485,27,207,,,,,,,67.4,hughequ01
8,Chicago Blackhawks,Adam Boqvist,SE,D,18,2026,Brynas IF Jr. (Sweden Jr.),272,27,76,103,-59,58,,,,,,,12.6,boqviad01
9,New York Rangers,Vitali Kravtsov,RU,RW,18,2023,Traktor Chelyabinsk (Russia),64,6,6,12,-3,14,,,,,,,0.4,kravtvi01
10,Edmonton Oilers,Evan Bouchard,CA,D,18,2026,London Knights (OHL),429,76,257,333,82,154,,,,,,,52.5,bouchev01
11,New York Islanders,Oliver Wahlstrom,US,RW,18,2025,USA U-18 Development Team (USDP/USHL),236,37,36,73,-13,176,,,,,,,6.5,wahlsol01
12,New York Islanders,Noah Dobson,CA,D,18,2026,Acadie-Bathurst Titan (QMJHL),468,62,215,277,2,152,,,,,,,43.0,dobsono01
13,Dallas Stars,Ty Dellandrea,CA,C,18,2026,Flint Firebirds (OHL),265,17,44,61,-51,181,,,,,,,0.1,dellaty01
