Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
1,Chicago Blackhawks,Connor Bedard,CA,C,18,2026,Regina Pats (WHL),219,75,128,203,-98,148,,,,,,,18.0,bedarco01
2,Anaheim Ducks,Leo Carlsson,SE,C,18,2026,Orebro (Sweden),201,61,80,141,-1,63,,,,,,,13.7,carlsle01
3,Columbus Blue Jackets,Adam Fantilli,CA,C,18,2026,Michigan (Big Ten),213,67,73,140,-30,72,,,,,,,12.8,fantiad01
4,San Jose Sharks,William Smith,US,C,18,2026,Usa U-18 (U.S. NTDP),143,42,62,104,-14,34,,,,,,,10.1,smithwi01
5,Montreal Canadiens,David Reinbacher,AT,D,18,2026,Kloten (Swiss),2,0,1,1,0,0,,,,,,,0.1,reinbda01
6,Arizona Coyotes,Dmitriy Simashev,RU,D,18,2026,Yaroslavl Jr. (Russia-Jr.),28,0,1,1,-11,23,,,,,,,-0.4,simasdm01
7,Philadelphia Flyers,Matvei Michkov,RU,RW,18,2026,Ska St. Petersburg (Russia),161,46,68,114,-18,117,,,,,,,11.1,michkma01
8,Washington Capitals,Ryan Leonard,US,RW,18,2026,Usa U-18 (U.S. NTDP),84,21,25,46,-2,58,,,,,,,4.5,leonary01
9,Detroit Red Wings,Nate Danielson,CA,C,18,2026,Brandon Wheat Kings (WHL),28,2,5,7,-7,4,,,,,,,0.2,daniena01
10,St. Louis Blues,Dalibor Dvorsky,SK,C,18,2026,Aik (Sweden-2),73,12,9,21,-6,26,,,,,,,1.4,dvorsda01
11,Vancouver Canucks,Tom Willander,SE,D,18,2026,Rogle Jr. (Sweden-Jr.),70,5,16,21,-23,28,,,,,,,2.4,willato01
12,Arizona Coyotes,Danil But,RU,LW,18,2026,Yaroslavl Jr. (Russia-Jr.),29,3,4,7,1,8,,,,,,,0.4,butda01
13,Buffalo Sabres,Zach Benson,CA,LW,18,2026,Winnipeg Ice (WHL),211,34,67,101,22,138,,,,,,,8.7,bensoza01
14,Pittsburgh Penguins,Brayden Yager,CA,C,18,2026,Moose Jaw Warriors (WHL),3,0,0,0,0,2,,,,,,,0.0,yagerbr01
15,Nashville Predators,Matthew Wood,CA,RW,18,2026,Connecticut (H-East),77,17,14,31,-3,16,,,,,,,3.2,woodma01
16,Calgary Flames,Samuel Honzek,SK,LW,18,2026,Vancouver Giants (WHL),23,2,2,4,0,4,,,,,,,0.2,honzesa01
17,Detroit Red Wings,Axel Sandin Pellikka,SE,D,18,2026,Skelleftea Jr. (Sweden-Jr.),68,7,14,21,-20,18,,,,,,,2.7,sandiax01
18,Winnipeg Jets,Colby Barlow,CA,LW,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,barloco01
19,Chicago Blackhawks,Oliver Moore,US,C,18,2026,Usa U-18 (U.S. NTDP),60,5,18,23,-17,23,,,,,,,1.1,mooreol01
