Rk,Player,Tm,Pos,Shift,GP,TOI,CF% Rel,GF/60,GA/60,TOI,CF% Rel,GF/60,GA/60,TOI,CF% Rel,GF/60,GA/60,-9999
1,A.J. Greer,FLA,LW,0:32,78,11:44,3.9,3.3,2.4,0:07,-13.9,6.4,0.0,0:34,-7.5,0.0,9.5,greeraj01
2,Aaron Ekblad,FLA,D,0:43,72,17:28,0.3,3.1,3.3,2:09,-5.7,5.8,0.4,2:50,-9.9,0.0,7.9,ekblaaa01
3,Aatu Räty,VAN,C,0:23,66,11:01,0.6,1.8,2.2,0:07,12.0,0.0,0.0,0:52,4.1,1.0,6.2,ratyaa01
4,Abram Wiebe,CGY,D,0:42,4,12:01,-2.2,1.2,1.2,0:00,,,,0:00,,0.0,0.0,wiebeab01
5,Adam Boqvist,NYI,D,0:51,28,12:32,-9.0,1.5,2.9,0:26,-4.9,9.8,4.9,0:07,68.2,0.0,0.0,boqviad01
6,Adam Edstrom,NYR,C,0:56,35,9:23,-2.2,2.2,2.0,0:00,,0.0,0.0,0:03,-7.0,0.0,0.0,edstrad01
7,Adam Engstrom,MTL,D,0:38,15,12:43,2.8,2.8,2.2,0:13,8.8,0.0,0.0,0:05,-11.0,0.0,0.0,engstad01
8,Adam Erne,DAL,LW,0:33,45,9:56,-3.1,1.9,1.7,0:01,10.1,0.0,0.0,0:02,-9.7,0.0,0.0,ernead01
9,Adam Fantilli,CBJ,C,0:46,82,16:09,2.4,2.9,3.4,2:36,-2.1,7.6,1.1,0:08,10.9,0.0,15.7,fantiad01
10,Adam Fox,NYR,D,0:42,55,19:32,10.5,3.1,2.7,3:18,3.8,11.2,1.0,0:46,4.4,1.4,7.0,foxad01
11,Adam Gaudette,SJS,C,0:34,66,10:28,-3.0,2.4,3.2,0:59,-4.7,6.4,0.0,0:00,42.0,0.0,0.0,gaudead01
12,Adam Ginning,PHI,D,0:35,5,13:33,-14.5,1.8,1.8,0:00,,0.0,0.0,1:46,-15.9,0.0,6.8,ginniad01
13,Adam Henrique,EDM,C,0:42,65,10:58,-3.3,1.5,2.6,0:36,2.7,6.1,1.5,1:39,-6.1,1.1,6.7,henriad01
14,Adam Klapka,CGY,F,0:54,79,10:12,-1.6,1.9,2.8,0:25,-5.1,5.3,0.0,0:00,,0.0,0.0,klapkad01
15,Adam Larsson,SEA,D,0:45,82,18:46,-1.7,2.5,2.6,0:03,-5.1,0.0,0.0,2:32,-2.0,0.3,11.5,larssad01
16,Adam Lowry,WPG,LW,0:37,70,13:06,1.3,2.1,2.6,0:04,-1.4,0.0,0.0,1:46,0.5,1.0,11.1,lowryad01
17,Adam Pelech,NYI,D,0:40,82,18:15,4.8,2.1,2.2,0:08,-12.9,0.0,0.0,2:28,-1.8,1.8,8.9,pelecad01
18,Adam Sykora,NYR,LW,0:46,11,11:01,-5.4,2.5,2.5,0:06,9.6,0.0,0.0,0:02,,0.0,0.0,sykorad01
19,Adam Wilsby,NSH,D,0:56,58,15:57,2.0,2.4,2.4,0:01,-37.0,0.0,0.0,1:01,-7.5,2.0,7.1,wilsbad01
20,Adrian Kempe,LAK,LW,0:48,81,15:41,0.6,3.4,2.5,3:04,4.6,6.3,1.2,0:32,7.4,1.4,12.3,kempead01
21,Albert Johansson,DET,D,0:41,82,14:23,-4.5,1.8,2.8,0:12,3.1,0.0,0.0,1:21,0.7,1.1,10.3,johanal01
22,Alec Regula,EDM,D,0:43,29,13:38,-5.4,1.4,3.8,0:00,10.0,0.0,0.0,0:49,8.6,0.0,12.6,regulal01
23,Aleksanteri Kaskimaki,STL,C,0:35,5,9:51,-3.4,1.2,8.5,0:26,11.5,0.0,0.0,0:05,-9.4,0.0,0.0,kaskial01
24,Alex Barré-Boulet,COL,F,0:27,2,6:57,14.4,0.0,0.0,1:27,-0.5,0.0,0.0,0:00,,,,barreal01
25,Alex Bump,PHI,LW,0:43,17,11:40,-3.8,2.7,1.8,0:56,0.9,0.0,0.0,0:01,,0.0,0.0,bumpal01
26,Alex DeBrincat,DET,RW,0:56,82,15:08,4.8,3.8,3.3,3:19,3.4,9.7,0.7,0:02,-8.8,0.0,0.0,debrial01
27,Alex Iafallo,WPG,C,0:52,79,13:15,0.5,2.8,2.6,1:12,-0.2,3.8,0.0,1:07,-5.1,0.7,6.7,iafalal01
28,Alex Killorn,ANA,C/LW,0:42,82,12:56,0.0,2.8,2.8,1:28,-1.4,6.0,1.0,2:17,0.9,0.3,9.6,killoal01
29,Alex Laferriere,LAK,RW,0:42,82,14:57,1.3,2.5,2.3,1:41,-6.9,4.3,1.3,1:39,4.7,0.9,8.4,laferal01
30,Alex Newhook,MTL,C,0:32,42,12:30,-5.1,3.8,2.9,1:01,-8.4,5.6,0.0,0:56,-6.3,1.5,9.0,newhoal01
31,Alex Ovechkin,WSH,LW,0:53,82,12:56,2.6,3.6,3.2,4:29,-8.1,6.7,1.8,0:01,73.1,0.0,0.0,ovechal01
32,Alex Steeves,BOS,F,0:38,43,10:33,1.6,2.9,2.2,0:52,5.8,9.5,0.0,0:29,2.0,2.8,11.3,steeval02
33,Alex Tuch,BUF,RW,0:39,79,14:53,2.0,4.1,3.1,1:40,1.2,5.5,0.9,2:25,1.2,2.2,8.1,tuchal01
34,Alex Turcotte,LAK,C,0:37,62,10:30,3.2,1.9,2.7,0:18,9.1,0.0,0.0,0:00,-14.6,0.0,0.0,turcoal02
35,Alex Vlasic,CHI,D,0:42,81,18:12,-1.9,2.2,3.1,0:04,-20.2,0.0,0.0,2:51,-3.8,1.0,6.5,vlasial01
36,Alexander Holtz,VEG,RW,0:33,28,10:58,-5.8,2.7,2.9,0:26,-15.7,0.0,0.0,0:03,-10.9,0.0,41.9,holtzal01
37,Alexander Kerfoot,UTA,C,0:38,34,10:52,-1.8,2.8,3.1,0:23,8.2,4.5,0.0,1:31,-3.8,2.3,10.4,kerfoal01
38,Alexander Nikishin,CAR,D,0:48,81,15:39,-1.8,3.0,2.2,1:26,-3.6,12.8,0.5,1:05,-1.7,2.1,4.1,nikisal01
39,Alexander Petrovic,DAL,D,0:44,54,14:52,-3.5,2.6,2.5,0:00,,0.0,0.0,0:27,10.8,0.0,0.0,petroal01
40,Alexander Romanov,NYI,D,0:47,15,17:16,-9.4,1.9,3.7,0:05,13.8,0.0,0.0,2:04,5.1,1.9,0.0,romanal01
41,Alexander Wennberg,SJS,C,0:42,80,14:57,1.7,2.8,3.8,3:20,-2.4,7.6,1.6,2:08,-2.9,0.3,8.7,wennbal01
42,Alexandre Carrier,MTL,D,0:45,73,16:02,-2.8,3.1,3.1,0:01,-9.4,0.0,0.0,3:00,-8.1,0.3,10.6,carrial01
43,Alexandre Texier,TOT,C,0:48,51,12:26,5.1,2.8,1.8,0:58,-7.3,2.6,1.3,0:13,2.7,5.3,0.0,texieal01
44,Alexey Toropchenko,STL,RW,0:48,65,10:19,-8.9,1.5,2.7,0:01,15.3,0.0,0.0,1:38,-1.2,1.1,9.0,toropal01
45,Alexis Lafrenière,NYR,LW,0:40,82,15:09,5.9,3.0,3.1,2:25,-4.0,10.0,1.8,0:01,-9.9,0.0,0.0,lafreal01
46,Aliaksei Protas,WSH,C,0:45,76,15:49,4.9,3.9,3.0,0:28,7.4,3.3,1.6,1:55,7.6,1.2,7.8,protaal01
47,Anders Lee,NYI,LW,0:49,82,13:52,3.6,3.2,3.0,1:45,-7.0,5.4,2.1,0:00,,0.0,0.0,leean01
48,André Burakovsky,CHI,LW,0:42,75,14:11,0.6,2.4,4.1,2:12,-2.9,6.9,1.1,0:00,-10.6,0.0,0.0,burakan01
49,Andre Lee,LAK,LW,0:44,7,10:16,0.3,1.7,3.3,0:01,,0.0,0.0,0:00,,,,leean02
50,Andreas Englund,NSH,D,0:43,3,8:48,14.5,0.0,2.3,0:00,,,,0:01,,0.0,0.0,engluan01
51,Andrei Kuzmenko,LAK,F,0:44,52,11:55,1.4,2.3,2.6,2:59,6.2,7.3,0.4,0:00,,,,kuzmean01
52,Andrei Svechnikov,CAR,RW,0:53,79,14:00,1.3,3.2,3.1,2:58,3.5,11.5,0.3,0:00,-20.6,0.0,0.0,svechan01
53,Andrew Agozzino,UTA,LW,0:39,2,6:08,-22.1,0.0,0.0,0:00,,,,0:00,,,,agozzan01
54,Andrew Copp,DET,C,0:40,79,13:46,2.6,3.1,2.9,1:21,-2.0,7.3,0.6,1:27,-0.5,0.0,8.4,coppan01
55,Andrew Mangiapane,TOT,LW,0:32,62,12:01,-0.7,2.0,3.1,0:09,,0.0,0.0,0:18,,0.0,0.0,mangian01
56,Andrew Peeke,BOS,D,0:48,77,16:58,-2.4,1.9,2.5,0:02,13.8,0.0,0.0,2:22,-1.2,0.3,9.5,peekean01
57,Angus Booth,LAK,D,0:33,1,12:18,-10.8,4.9,0.0,0:00,,,,0:00,,,,boothan01
58,Angus Crookshank,NJD,LW,0:40,8,8:36,-13.3,1.7,0.9,0:00,,,,0:00,-8.3,,,crookan01
59,Anthony Beauvillier,WSH,LW,0:47,82,14:06,-1.1,2.9,2.5,0:30,-3.6,2.8,2.8,1:10,-1.1,1.2,5.6,beauvan01
60,Anthony Cirelli,TBL,C,0:37,71,13:27,4.0,4.8,2.6,1:13,-0.6,6.2,0.0,2:37,-4.5,1.3,5.5,cirelan01
61,Anthony Duclair,NYI,LW,0:47,62,11:56,-5.2,2.4,2.3,1:15,0.3,9.2,1.5,0:00,,0.0,0.0,duclaan01
62,Anthony Mantha,PIT,RW,0:44,81,12:52,-0.9,4.0,3.3,2:18,2.6,8.4,1.0,0:00,-12.6,0.0,0.0,manthan01
63,Anthony Richard,PHI,C,0:38,1,7:08,2.3,0.0,0.0,0:00,,,,0:00,,,,richaan01
64,Anton Blidh,NYR,LW,0:33,4,7:42,-8.8,1.9,0.0,0:00,,,,0:00,,,,blidhan01
65,Anton Frondell,CHI,C,0:55,12,14:09,-0.1,3.9,4.2,3:32,13.3,4.2,0.0,0:00,,,,frondan01
66,Anton Lundell,FLA,C,0:32,64,14:21,0.1,2.9,3.6,2:40,-2.1,8.7,1.0,2:07,7.5,2.2,7.5,lundean01
67,Anže Kopitar,LAK,C,0:45,67,15:24,1.4,3.3,2.0,2:56,5.6,5.2,0.9,0:45,-12.2,1.2,17.5,kopitan01
68,Arber Xhekaj,MTL,D,0:48,65,11:06,-1.7,1.9,2.7,0:00,,0.0,0.0,0:18,4.3,3.0,11.9,xhekaar01
69,Arseny Gritsyuk,NJD,RW,0:33,66,14:07,9.4,2.8,2.9,1:02,4.9,8.7,0.9,0:00,-13.3,0.0,0.0,gritsar01
70,Arshdeep Bains,VAN,F,0:47,28,8:45,-0.9,1.5,2.0,0:16,-0.1,16.0,8.0,0:10,-14.5,0.0,12.5,bainsar01
71,Artem Zub,OTT,D,0:40,81,17:51,-3.7,3.0,2.2,0:06,-18.7,0.0,0.0,2:49,-7.6,0.8,9.4,zubar01
72,Artemi Panarin,TOT,LW,0:57,78,17:28,5.7,4.1,2.7,3:22,-1.5,6.8,0.8,0:00,,0.0,0.0,panarar01
73,Arthur Kaliyev,OTT,RW,0:39,2,9:27,2.2,0.0,0.0,1:09,16.7,51.8,0.0,0:00,,,,kaliyar01
74,Arttu Hyry,DAL,F,0:27,20,9:39,-5.7,2.2,2.2,0:02,,0.0,0.0,2:04,-1.0,1.4,8.7,hyryar01
75,Artturi Lehkonen,COL,LW,0:52,70,14:59,-2.0,4.3,2.2,2:20,-3.1,4.4,1.8,1:09,2.3,0.0,2.2,lehkoar01
76,Artyom Levshunov,CHI,D,0:31,68,16:19,-0.1,2.0,4.1,2:44,-0.8,6.8,1.0,0:31,0.8,0.0,8.5,levshar01
77,Auston Matthews,TOR,C,0:37,60,16:52,1.5,3.8,3.7,2:46,-2.7,7.6,1.8,1:10,-0.5,0.0,8.6,matthau01
78,Avery Hayes,PIT,F,0:43,16,10:59,-5.3,2.4,3.4,0:08,-38.8,0.0,27.1,0:02,,0.0,0.0,hayesav01
